Time,Extension,Load
(s),(mm),(N)
"0.00000","0.00000","2.57282"
"0.00100","0.00000","2.57288"
"0.00200","0.00000","2.57295"
"0.00300","0.00000","2.57302"
"0.00400","0.00000","2.57309"
"0.00500","0.00000","2.57316"
"0.00600","0.00000","2.57322"
"0.00700","0.00000","2.57329"
"0.00800","0.00000","2.57336"
"0.00900","0.00000","2.57342"
"0.01000","0.00000","2.57348"
"0.01100","0.00000","2.57350"
"0.01200","0.00000","2.57347"
"0.01300","0.00000","2.57334"
"0.01400","0.00000","2.57308"
"0.01500","-0.00001","2.57262"
"0.01600","-0.00001","2.57191"
"0.01700","-0.00001","2.57089"
"0.01800","-0.00002","2.56950"
"0.01900","-0.00002","2.56765"
"0.02000","-0.00003","2.56526"
"0.02100","-0.00003","2.56227"
"0.02200","-0.00004","2.55866"
"0.02300","-0.00005","2.55441"
"0.02400","-0.00007","2.54956"
"0.02500","-0.00008","2.54414"
"0.02600","-0.00009","2.53820"
"0.02700","-0.00011","2.53182"
"0.02800","-0.00013","2.52505"
"0.02900","-0.00015","2.51796"
"0.03000","-0.00018","2.51063"
"0.03100","-0.00021","2.50309"
"0.03200","-0.00024","2.49541"
"0.03300","-0.00027","2.48763"
"0.03400","-0.00031","2.47978"
"0.03500","-0.00035","2.47191"
"0.03600","-0.00040","2.46403"
"0.03700","-0.00045","2.45619"
"0.03800","-0.00050","2.44840"
"0.03900","-0.00056","2.44069"
"0.04000","-0.00062","2.43308"
"0.04100","-0.00068","2.42558"
"0.04200","-0.00076","2.41823"
"0.04300","-0.00083","2.41105"
"0.04400","-0.00092","2.40405"
"0.04500","-0.00100","2.39727"
"0.04600","-0.00110","2.39071"
"0.04700","-0.00120","2.38439"
"0.04800","-0.00130","2.37833"
"0.04900","-0.00141","2.37253"
"0.05000","-0.00153","2.36700"
"0.05100","-0.00165","2.36177"
"0.05200","-0.00178","2.35685"
"0.05300","-0.00192","2.35227"
"0.05400","-0.00206","2.34804"
"0.05500","-0.00221","2.34416"
"0.05600","-0.00236","2.34061"
"0.05700","-0.00252","2.33737"
"0.05800","-0.00268","2.33444"
"0.05900","-0.00285","2.33179"
"0.06000","-0.00302","2.32942"
"0.06100","-0.00320","2.32731"
"0.06200","-0.00338","2.32547"
"0.06300","-0.00356","2.32387"
"0.06400","-0.00374","2.32252"
"0.06500","-0.00392","2.32140"
"0.06600","-0.00411","2.32047"
"0.06700","-0.00430","2.31973"
"0.06800","-0.00448","2.31915"
"0.06900","-0.00467","2.31872"
"0.07000","-0.00486","2.31843"
"0.07100","-0.00505","2.31827"
"0.07200","-0.00524","2.31823"
"0.07300","-0.00543","2.31831"
"0.07400","-0.00562","2.31850"
"0.07500","-0.00580","2.31877"
"0.07600","-0.00599","2.31912"
"0.07700","-0.00618","2.31952"
"0.07800","-0.00636","2.31998"
"0.07900","-0.00655","2.32048"
"0.08000","-0.00673","2.32102"
"0.08100","-0.00692","2.32158"
"0.08200","-0.00710","2.32216"
"0.08300","-0.00728","2.32273"
"0.08400","-0.00746","2.32328"
"0.08500","-0.00765","2.32381"
"0.08600","-0.00783","2.32431"
"0.08700","-0.00801","2.32477"
"0.08800","-0.00820","2.32520"
"0.08900","-0.00838","2.32561"
"0.09000","-0.00856","2.32599"
"0.09100","-0.00875","2.32636"
"0.09200","-0.00894","2.32672"
"0.09300","-0.00912","2.32706"
"0.09400","-0.00931","2.32738"
"0.09500","-0.00950","2.32766"
"0.09600","-0.00969","2.32790"
"0.09700","-0.00988","2.32809"
"0.09800","-0.01008","2.32823"
"0.09900","-0.01027","2.32834"
"0.10000","-0.01047","2.32840"
"0.10100","-0.01067","2.32844"
"0.10200","-0.01087","2.32845"
"0.10300","-0.01108","2.32842"
"0.10400","-0.01128","2.32835"
"0.10500","-0.01149","2.32824"
"0.10600","-0.01171","2.32809"
"0.10700","-0.01192","2.32790"
"0.10800","-0.01214","2.32766"
"0.10900","-0.01236","2.32739"
"0.11000","-0.01259","2.32709"
"0.11100","-0.01282","2.32674"
"0.11200","-0.01305","2.32636"
"0.11300","-0.01328","2.32594"
"0.11400","-0.01352","2.32549"
"0.11500","-0.01376","2.32501"
"0.11600","-0.01400","2.32449"
"0.11700","-0.01424","2.32395"
"0.11800","-0.01449","2.32338"
"0.11900","-0.01474","2.32278"
"0.12000","-0.01500","2.32215"
"0.12100","-0.01526","2.32150"
"0.12200","-0.01552","2.32081"
"0.12300","-0.01578","2.32008"
"0.12400","-0.01604","2.31930"
"0.12500","-0.01631","2.31848"
"0.12600","-0.01658","2.31760"
"0.12700","-0.01685","2.31667"
"0.12800","-0.01713","2.31570"
"0.12900","-0.01741","2.31467"
"0.13000","-0.01768","2.31360"
"0.13100","-0.01796","2.31248"
"0.13200","-0.01825","2.31131"
"0.13300","-0.01853","2.31009"
"0.13400","-0.01882","2.30881"
"0.13500","-0.01910","2.30750"
"0.13600","-0.01939","2.30615"
"0.13700","-0.01968","2.30477"
"0.13800","-0.01997","2.30335"
"0.13900","-0.02026","2.30190"
"0.14000","-0.02056","2.30041"
"0.14100","-0.02085","2.29890"
"0.14200","-0.02114","2.29738"
"0.14300","-0.02144","2.29585"
"0.14400","-0.02173","2.29431"
"0.14500","-0.02203","2.29278"
"0.14600","-0.02233","2.29124"
"0.14700","-0.02262","2.28972"
"0.14800","-0.02292","2.28821"
