Time,Extension,Load
(s),(mm),(N)
"0.00000","0.00000","2.47667"
"0.00100","0.00000","2.47659"
"0.00200","0.00000","2.47651"
"0.00300","0.00000","2.47644"
"0.00400","0.00000","2.47639"
"0.00500","0.00000","2.47637"
"0.00600","0.00000","2.47638"
"0.00700","0.00000","2.47642"
"0.00800","0.00000","2.47650"
"0.00900","0.00000","2.47658"
"0.01000","0.00000","2.47665"
"0.01100","0.00000","2.47666"
"0.01200","-0.00001","2.47657"
"0.01300","-0.00001","2.47631"
"0.01400","-0.00001","2.47582"
"0.01500","-0.00001","2.47503"
"0.01600","-0.00002","2.47385"
"0.01700","-0.00002","2.47220"
"0.01800","-0.00003","2.46998"
"0.01900","-0.00003","2.46708"
"0.02000","-0.00004","2.46344"
"0.02100","-0.00005","2.45901"
"0.02200","-0.00006","2.45380"
"0.02300","-0.00008","2.44787"
"0.02400","-0.00009","2.44134"
"0.02500","-0.00011","2.43437"
"0.02600","-0.00013","2.42707"
"0.02700","-0.00016","2.41956"
"0.02800","-0.00018","2.41189"
"0.02900","-0.00021","2.40413"
"0.03000","-0.00025","2.39631"
"0.03100","-0.00029","2.38847"
"0.03200","-0.00033","2.38062"
"0.03300","-0.00038","2.37278"
"0.03400","-0.00043","2.36497"
"0.03500","-0.00049","2.35722"
"0.03600","-0.00055","2.34955"
"0.03700","-0.00062","2.34199"
"0.03800","-0.00069","2.33456"
"0.03900","-0.00078","2.32729"
"0.04000","-0.00086","2.32019"
"0.04100","-0.00095","2.31329"
"0.04200","-0.00105","2.30663"
"0.04300","-0.00116","2.30024"
"0.04400","-0.00127","2.29415"
"0.04500","-0.00139","2.28838"
"0.04600","-0.00151","2.28292"
"0.04700","-0.00165","2.27777"
"0.04800","-0.00178","2.27291"
"0.04900","-0.00192","2.26834"
"0.05000","-0.00207","2.26404"
"0.05100","-0.00222","2.25999"
"0.05200","-0.00237","2.25618"
"0.05300","-0.00253","2.25260"
"0.05400","-0.00269","2.24921"
"0.05500","-0.00285","2.24602"
"0.05600","-0.00302","2.24300"
"0.05700","-0.00319","2.24014"
"0.05800","-0.00335","2.23742"
"0.05900","-0.00352","2.23482"
"0.06000","-0.00370","2.23233"
"0.06100","-0.00387","2.22991"
"0.06200","-0.00404","2.22755"
"0.06300","-0.00421","2.22525"
"0.06400","-0.00438","2.22300"
"0.06500","-0.00455","2.22081"
"0.06600","-0.00473","2.21868"
"0.06700","-0.00490","2.21663"
"0.06800","-0.00507","2.21468"
"0.06900","-0.00524","2.21282"
"0.07000","-0.00541","2.21105"
"0.07100","-0.00558","2.20934"
"0.07200","-0.00575","2.20769"
"0.07300","-0.00592","2.20608"
"0.07400","-0.00609","2.20449"
"0.07500","-0.00626","2.20291"
"0.07600","-0.00643","2.20132"
"0.07700","-0.00660","2.19970"
"0.07800","-0.00677","2.19804"
"0.07900","-0.00694","2.19634"
"0.08000","-0.00711","2.19457"
"0.08100","-0.00728","2.19272"
"0.08200","-0.00746","2.19081"
"0.08300","-0.00763","2.18882"
"0.08400","-0.00781","2.18678"
"0.08500","-0.00799","2.18470"
"0.08600","-0.00817","2.18261"
"0.08700","-0.00835","2.18053"
"0.08800","-0.00854","2.17846"
"0.08900","-0.00872","2.17643"
"0.09000","-0.00891","2.17444"
"0.09100","-0.00910","2.17252"
"0.09200","-0.00930","2.17067"
"0.09300","-0.00950","2.16890"
"0.09400","-0.00970","2.16720"
"0.09500","-0.00990","2.16558"
"0.09600","-0.01011","2.16402"
"0.09700","-0.01032","2.16253"
"0.09800","-0.01053","2.16111"
"0.09900","-0.01075","2.15975"
"0.10000","-0.01097","2.15847"
"0.10100","-0.01119","2.15725"
"0.10200","-0.01142","2.15611"
"0.10300","-0.01165","2.15505"
"0.10400","-0.01188","2.15408"
"0.10500","-0.01212","2.15322"
"0.10600","-0.01236","2.15248"
"0.10700","-0.01261","2.15187"
"0.10800","-0.01285","2.15139"
"0.10900","-0.01311","2.15106"
"0.11000","-0.01336","2.15086"
"0.11100","-0.01362","2.15079"
"0.11200","-0.01388","2.15083"
"0.11300","-0.01414","2.15099"
"0.11400","-0.01441","2.15123"
"0.11500","-0.01468","2.15157"
"0.11600","-0.01495","2.15199"
"0.11700","-0.01523","2.15248"
"0.11800","-0.01551","2.15305"
"0.11900","-0.01579","2.15368"
"0.12000","-0.01607","2.15438"
"0.12100","-0.01636","2.15515"
"0.12200","-0.01664","2.15599"
"0.12300","-0.01693","2.15692"
"0.12400","-0.01723","2.15796"
"0.12500","-0.01752","2.15911"
"0.12600","-0.01781","2.16038"
"0.12700","-0.01811","2.16179"
"0.12800","-0.01841","2.16332"
"0.12900","-0.01871","2.16495"
"0.13000","-0.01901","2.16665"
"0.13100","-0.01931","2.16836"
"0.13200","-0.01961","2.17008"
"0.13300","-0.01992","2.17176"
"0.13400","-0.02022","2.17339"
"0.13500","-0.02053","2.17495"
"0.13600","-0.02083","2.17646"
"0.13700","-0.02114","2.17790"
"0.13800","-0.02144","2.17929"
"0.13900","-0.02175","2.18063"
"0.14000","-0.02205","2.18194"
"0.14100","-0.02236","2.18322"
"0.14200","-0.02267","2.18447"
"0.14300","-0.02297","2.18572"
"0.14400","-0.02328","2.18696"
"0.14500","-0.02358","2.18820"
"0.14600","-0.02389","2.18944"
"0.14700","-0.02419","2.19069"
"0.14800","-0.02449","2.19192"
"0.14900","-0.02479","2.19313"
"0.15000","-0.02510","2.19430"
"0.15100","-0.02540","2.19544"
"0.15200","-0.02570","2.19652"
"0.15300","-0.02600","2.19752"
"0.15400","-0.02630","2.19845"
"0.15500","-0.02659","2.19927"
"0.15600","-0.02689","2.19999"
"0.15700","-0.02719","2.20060"
"0.15800","-0.02748","2.20109"
"0.15900","-0.02778","2.20146"
"0.16000","-0.02807","2.20172"
"0.16100","-0.02836","2.20189"
"0.16200","-0.02866","2.20196"
"0.16300","-0.02895","2.20194"
"0.16400","-0.02924","2.20183"
"0.16500","-0.02953","2.20165"
"0.16600","-0.02982","2.20140"
"0.16700","-0.03011","2.20111"
"0.16800","-0.03039","2.20078"
"0.16900","-0.03068","2.20043"
"0.17000","-0.03097","2.20006"
"0.17100","-0.03125","2.19967"
"0.17200","-0.03154","2.19927"
"0.17300","-0.03182","2.19885"
"0.17400","-0.03210","2.19842"
"0.17500","-0.03239","2.19798"
"0.17600","-0.03267","2.19753"
"0.17700","-0.03295","2.19707"
"0.17800","-0.03323","2.19659"
"0.17900","-0.03351","2.19609"
"0.18000","-0.03379","2.19557"
"0.18100","-0.03407","2.19501"
"0.18200","-0.03435","2.19441"
"0.18300","-0.03462","2.19377"
"0.18400","-0.03490","2.19309"
"0.18500","-0.03518","2.19238"
"0.18600","-0.03545","2.19164"
"0.18700","-0.03573","2.19089"
"0.18800","-0.03600","2.19013"
"0.18900","-0.03627","2.18937"
"0.19000","-0.03655","2.18862"
"0.19100","-0.03682","2.18787"
"0.19200","-0.03709","2.18713"
"0.19300","-0.03736","2.18639"
"0.19400","-0.03763","2.18567"
"0.19500","-0.03791","2.18495"
"0.19600","-0.03817","2.18425"
"0.19700","-0.03844","2.18354"
"0.19800","-0.03871","2.18284"
"0.19900","-0.03898","2.18214"
"0.20000","-0.03925","2.18145"
"0.20100","-0.03951","2.18075"
"0.20200","-0.03978","2.18005"
"0.20300","-0.04005","2.17933"
"0.20400","-0.04031","2.17859"
"0.20500","-0.04058","2.17782"
"0.20600","-0.04084","2.17701"
"0.20700","-0.04110","2.17617"
"0.20800","-0.04136","2.17531"
"0.20900","-0.04163","2.17442"
"0.21000","-0.04189","2.17351"
"0.21100","-0.04215","2.17260"
"0.21200","-0.04241","2.17169"
"0.21300","-0.04267","2.17079"
"0.21400","-0.04293","2.16991"
"0.21500","-0.04319","2.16906"
"0.21600","-0.04345","2.16824"
"0.21700","-0.04370","2.16744"
"0.21800","-0.04396","2.16667"
"0.21900","-0.04422","2.16591"
"0.22000","-0.04448","2.16517"
"0.22100","-0.04473","2.16445"
"0.22200","-0.04499","2.16374"
"0.22300","-0.04524","2.16303"
"0.22400","-0.04550","2.16232"
"0.22500","-0.04575","2.16158"
"0.22600","-0.04601","2.16082"
"0.22700","-0.04626","2.16002"
"0.22800","-0.04652","2.15918"
"0.22900","-0.04677","2.15832"
"0.23000","-0.04703","2.15743"
"0.23100","-0.04728","2.15654"
"0.23200","-0.04753","2.15566"
"0.23300","-0.04779","2.15479"
"0.23400","-0.04804","2.15395"
"0.23500","-0.04829","2.15313"
"0.23600","-0.04855","2.15235"
"0.23700","-0.04880","2.15161"
"0.23800","-0.04905","2.15092"
"0.23900","-0.04931","2.15027"
"0.24000","-0.04956","2.14966"
"0.24100","-0.04981","2.14908"
"0.24200","-0.05007","2.14854"
"0.24300","-0.05032","2.14801"
"0.24400","-0.05057","2.14749"
"0.24500","-0.05083","2.14698"
"0.24600","-0.05108","2.14647"
"0.24700","-0.05133","2.14595"
"0.24800","-0.05159","2.14543"
"0.24900","-0.05184","2.14492"
"0.25000","-0.05209","2.14441"
"0.25100","-0.05235","2.14392"
"0.25200","-0.05260","2.14342"
"0.25300","-0.05285","2.14293"
"0.25400","-0.05311","2.14244"
"0.25500","-0.05336","2.14196"
"0.25600","-0.05361","2.14148"
"0.25700","-0.05387","2.14102"
"0.25800","-0.05412","2.14057"
